Nome = a' AND '1' = '2  password  =aa
Nome = a' AND '1' = '2  password  =aa
Nome = a' AND '1' = '2  password  =aa
Nome = a' AND '1' = '2  password  =aa
Nome = a' AND '1' = '2  password  =aa
Nome = <h2>negroz</h2> password  =qq
Nome = Marco  password  =P@ssw0rd!?
Nome = pippo69 password  =pippo
Nome = pippo70 password  =aaaa
Nome = toffologay password  = ssssss
Nome = tiamopapi password  = ddddd utente = /006/006.01.pag0-CreazioneUtente.php
Nome = aprimilano password  = ddddddd utente = /006/006.01.pag0-CreazioneUtente.php
Nome = pippo71 password  = aaaa utente = /006/006.01.pag0-CreazioneUtente.php
Nome = lovoglionelculo password  = dddddghj utente = /006/006.01.pag0-CreazioneUtente.php
Nome = aprimiindue password  = ddfdwag utente = /006/006.01.pag0-CreazioneUtente.php
Nome = toffolochiavami password  = tiprego utente = /006/006.01.pag0-CreazioneUtente.php
Nome = diocanaglia password  = asas utente = jacopo.toffolo
Nome = diomaledetto password  = asas utente = jacopo.toffolo
Nome = madonnacicciona password  = asas utente = jacopo.toffolo
Nome = 1+over 2.5 password  = as utente = jacopo.toffolo
Nome = 1corner password  = ss utente = jacopo.toffolo
Nome = 1Xmultigol1-3 password  = asa utente = jacopo.toffolo
Nome = pippo password  = pippo utente = jacopo.toffolo
Nome = pippo password  = pippo utente = jacopo.toffolo
Nome = pippo password  = pippo utente = jacopo.toffolo
Nome = wer' AND '1'='2'' password  = ert utente = jacopo.toffolo
Nome = wer' AND '1'='2'' password  = ert utente = jacopo.toffolo
Nome = wer' AND '1'='2'' password  = ert utente = jacopo.toffolo
Nome = wer' AND '1'='2'' password  = ert utente = jacopo.toffolo
Nome = wer' AND '1'='2'' password  = ertwre utente = jacopo.toffolo
Nome = wer' AND '1'='2'' password  = wer utente = jacopo.toffolo
Nome = wer' AND '1'='2'' password  = wer utente = jacopo.toffolo
Nome = wer' AND '1'='2'' password  = wer utente = jacopo.toffolo
Nome = wer' AND '1'='2'' password  = wer utente = jacopo.toffolo
Nome = wer' AND '1'='2'' password  = wer utente = jacopo.toffolo
Nome = wer' AND '1'='2'' password  = wer utente = jacopo.toffolo
Nome = wer' AND '1'='2'' password  = wer utente = jacopo.toffolo
Nome = pippo700 password  = pippo utente = localhost
Nome = 105; DROP DATABASE 5ait_vacanze password  = a utente = 172.16.11.4
Nome = 105; DROP DATABASE 5ait_vacanze; password  = aaa utente = 172.16.11.4
Nome = aaaa; DROP DATABASE 5ait_vacanze; password  = ghpssd utente = 172.16.11.4
Nome = 💩💩💩💩💩💩💩💩 password  = aaaaaaa utente = 172.16.11.4
Nome = aledeste1 password  = aledeste utente = 172.16.11.4
Nome = ciao password  = hmjgh utente = 
Nome = aledeste1 password  = aledeste utente = 
Nome = gay password  = g utente = 
